Id,language,Quote,Quote_url,Author,Author_Profile,Tags
969073,en,Arrest me for sitting on a bus? You may do that.,https://quotepark.com/quotes/969073-rosa-parks-arrest-me-for-sitting-on-a-bus-you-may-do-that/,Rosa Parks,https://quotepark.com/authors/rosa-parks/,"arrest, bus, doing"
1321027,en,Fear no man but only God,https://quotepark.com/quotes/1321027-tupac-shakur-fear-no-man-but-only-god/,Tupac Shakur,https://quotepark.com/authors/tupac-shakur/,"God, Fear, man"
1815082,en,"The desire to die was my one and only concern; to it I have sacrificed everything, even death.",https://quotepark.com/quotes/1815082-emil-m-cioran-the-desire-to-die-was-my-one-and-only-concern-to/,Emil M. Cioran,https://quotepark.com/authors/emil-m-cioran/,"Death, concern, desire, die, evening, everything"
739624,en,"Smile, breathe and go slowly.",https://quotepark.com/quotes/739624-thich-nhat-hanh-smile-breathe-and-go-slowly/,Thich Nhat Hanh,https://quotepark.com/authors/thich-nhat-hanh/,"Smile, breath, going"
1351512,en,"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",https://quotepark.com/quotes/1351512-john-lennon-when-i-was-5-years-old-my-mother-always-told-me-t/,John Lennon,https://quotepark.com/authors/john-lennon/,"Life, Happiness, School, Understanding, assignment, down, happiness, key, mother, want, year, Motivational, Deep, Happy, Inspirational, Life, Positive, Powerful"
1458580,en,"You must worship the Self in Krishna, not Krishna as Krishna.",https://quotepark.com/quotes/1458580-swami-vivekananda-you-must-worship-the-self-in-krishna-not-krishna/,Swami Vivekananda,https://quotepark.com/authors/swami-vivekananda/,"self, worship, worshiper"
1820795,en,"School, I never truly got the knack of. I could never focus on things I didn't want to learn.",https://quotepark.com/quotes/1820795-leonardo-dicaprio-school-i-never-truly-got-the-knack-of-i-could-ne/,Leonardo DiCaprio,https://quotepark.com/authors/leonardo-dicaprio/,"School, Learning, focus, thing, want"
1037707,en,Give a man a fish and feed him for a day. Teach a man to fish and feed him for a lifetime. Teach a man to cycle and he will realize fishing is stupid and boring.,https://quotepark.com/quotes/1037707-desmond-tutu-give-a-man-a-fish-and-feed-him-for-a-day-teach-a/,Desmond Tutu,https://quotepark.com/authors/desmond-tutu/,"Stupidity, Fish, bore, cycle, day, feed, feeding, fishing, lifetime, man, realization, teaching"
961715,en,I have loved books all my life. There is nothing more beautiful in our material world than the book.,https://quotepark.com/quotes/961715-patti-smith-i-have-loved-books-all-my-life-there-is-nothing-m/,Patti Smith,https://quotepark.com/authors/patti-smith/,"Love, Life, Books, World, Beauty, book, booking, material, nothing"
745485,en,I would rather be the hammer than the anvil,https://quotepark.com/quotes/745485-erwin-rommel-i-would-rather-be-the-hammer-than-the-anvil/,Erwin Rommel,https://quotepark.com/authors/erwin-rommel/,hammer
1952107,en,It is so hard to get things done in this world. You try and too often it doesn't work. But you have to continue. And you never give up. ,https://quotepark.com/quotes/1952107-malala-yousafzai-it-is-so-hard-to-get-things-done-in-this-world-yo/,Malala Yousafzai,https://quotepark.com/authors/malala-yousafzai/,"World, continuity, thing, try, work, working"
1872097,en,Violent delights tend to have violent ends.,https://quotepark.com/quotes/1872097-richard-ramirez-violent-delights-tend-to-have-violent-ends/,Richard Ramirez,https://quotepark.com/authors/richard-ramirez/,"delight, end"
1914981,en,"The more we do to you, the less you seem to believe we are doing it.",https://quotepark.com/quotes/1914981-josef-mengele-the-more-we-do-to-you-the-less-you-seem-to-believ/,Josef Mengele,https://quotepark.com/authors/josef-mengele/,"believer, doing"
